manu_id,manu_sku,product_name,,prod_page_url
3,LKC-UF01,US Flag Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-UF01
3,LFF-MP18,Imp Stress Reliever,,https://www.arielpremium.com/product/LFF-MP18
3,LKC-WA13,Mood Maniac Key Chain-Wacky,,https://www.arielpremium.com/product/LKC-WA13
3,LTR-MC38,Motorcycle Stress Reliever,,https://www.arielpremium.com/product/LTR-MC38
3,LFF-DR07,Dragon Stress Reliever,,https://www.arielpremium.com/product/LFF-DR07
3,LGS-SM17,Starman Stress Reliever,,https://www.arielpremium.com/product/LGS-SM17
3,LKC-PG12,Pig Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-PG12
3,LTR-CC17,Cute Car Stress Reliever,,https://www.arielpremium.com/product/LTR-CC17
3,LEB-MC02,Multicolored Earthball Stress Reliever,,https://www.arielpremium.com/product/LEB-MC02
3,LAA-SF06,Starfish Stress Reliever,,https://www.arielpremium.com/product/LAA-SF06
3,LMN-ET10,Eiffel Tower Stress Reliever,,https://www.arielpremium.com/product/LMN-ET10
3,LCC-MR10,Mr Recycle Stress Reliever,,https://www.arielpremium.com/product/LCC-MR10
3,LCC-FY15,Fire Hydrant Stress Reliever,,https://www.arielpremium.com/product/LCC-FY15
3,LAN-LV12,Liver Stress Reliever,,https://www.arielpremium.com/product/LAN-LV12
3,LAR-AR12,Airliner Stress Reliever,,https://www.arielpremium.com/product/LAR-AR12
3,LNA-RK16,Gray Rock Stress Reliever,,https://www.arielpremium.com/product/LNA-RK16
3,LAN-SK07,Skull Stress Reliever,,https://www.arielpremium.com/product/LAN-SK07
3,LED-TR26,Trophy Stress Reliever,,https://www.arielpremium.com/product/LED-TR26
3,LMT-WC07,Wildcat/Cougar Mascot Stress Reliever,,https://www.arielpremium.com/product/LMT-WC07
3,LHT-BT07,Bathtub Stress Reliever,,https://www.arielpremium.com/product/LHT-BT07
3,LGS-WA13,Mini Wacky Mood Maniac Stress Reliever,,https://www.arielpremium.com/product/LGS-WA13
3,LFD-CN01,Champagne Bottle Stress Reliever,,https://www.arielpremium.com/product/LFD-CN01
3,LCH-TT17,Tooth Figure Stress Reliever,,https://www.arielpremium.com/product/LCH-TT17
3,LSP-SC18,Soccer Ball Stress Reliever,,https://www.arielpremium.com/product/LSP-SC18
3,LPA-US25,US Map Stress Reliever,,https://www.arielpremium.com/product/LPA-US25
3,LAN-RB15,Rainbow Brain Stress Reliever,,https://www.arielpremium.com/product/LAN-RB15
3,LTR-LM51,Limousine Stress Reliever,,https://www.arielpremium.com/product/LTR-LM51
3,LGS-MA18,Mobile App Icon Stress Reliever,,https://www.arielpremium.com/product/LGS-MA18
3,LCN-CW12,Construction Worker Bear Stress Reliever,,https://www.arielpremium.com/product/LCN-CW12
3,LCH-WD91,Western Droplet Stress Reliever Figure,,https://www.arielpremium.com/product/LCH-WD91
3,LCH-CP03,Computer Figure Stress Reliever,,https://www.arielpremium.com/product/LCH-CP03
3,LGS-MP11,Megaphone Stress Reliever,,https://www.arielpremium.com/product/LGS-MP11
3,LFN-CR04,Credit Card Stress Reliever,,https://www.arielpremium.com/product/LFN-CR04
3,LEB-EB01,Earthball Stress Reliever,,https://www.arielpremium.com/product/LEB-EB01
3,LAA-SH17,Seahorse Stress Reliever,,https://www.arielpremium.com/product/LAA-SH17
3,LAA-OC13,Octopus Stress Reliever,,https://www.arielpremium.com/product/LAA-OC13
3,LAA-BW18,Blue Whale Stress Reliever,,https://www.arielpremium.com/product/LAA-BW18
3,LTR-SH08,Shuttle Bus Stress Reliever,,https://www.arielpremium.com/product/LTR-SH08
3,LTR-WD97,4-Wheel Drive Stress Reliever,,https://www.arielpremium.com/product/LTR-WD97
3,LSP-BT10,Baseball Bat Stress Reliever,,https://www.arielpremium.com/product/LSP-BT10
3,LAZ-TR06,Sitting Tiger Stress Reliever,,https://www.arielpremium.com/product/LAZ-TR06
3,LPA-UF28,US Flag Stress Reliever,,https://www.arielpremium.com/product/LPA-UF28
3,LGS-TS18,Torch Stress Reliever,,https://www.arielpremium.com/product/LGS-TS18
3,LEN-PT98,Propane Tank (NS) Stress Reliever,,https://www.arielpremium.com/product/LEN-PT98
3,LVG-BR02,Broccoli Stress Reliever,,https://www.arielpremium.com/product/LVG-BR02
3,LKC-EB01,Earthball Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-EB01
3,LAR-LA05,Large Airplane Stress Reliever,,https://www.arielpremium.com/product/LAR-LA05
3,LAZ-KA18,Kangaroo Stress Reliever,,https://www.arielpremium.com/product/LAZ-KA18
3,LSP-FB15,Medium Football Stress Reliever,,https://www.arielpremium.com/product/LSP-FB15
3,LAZ-GR15,Giraffe Stress Reliever,,https://www.arielpremium.com/product/LAZ-GR15
3,LMT-WL07,Wolf Mascot Stress Reliever,,https://www.arielpremium.com/product/LMT-WL07
3,LAA-TF09,Tropical Fish Stress Reliever,,https://www.arielpremium.com/product/LAA-TF09
3,LGS-TH12,Thanks Word Stress Reliever,,https://www.arielpremium.com/product/LGS-TH12
3,LSP-BY01,Bicycle Helmet Stress Reliever,,https://www.arielpremium.com/product/LSP-BY01
3,LTR-SV29,Service Van Stress Reliever,,https://www.arielpremium.com/product/LTR-SV29
3,LFR-WM10,Watermelon Stress Reliever,,https://www.arielpremium.com/product/LFR-WM10
3,LMA-SD01,Soldier Mad Cap Stress Reliever,,https://www.arielpremium.com/product/LMA-SD01
3,LAN-CD99,Caduceus Stress Reliever,,https://www.arielpremium.com/product/LAN-CD99
3,LTV-LH16,Lighthouse Stress Reliever,,https://www.arielpremium.com/product/LTV-LH16
